Entry,Organism,Protein families,Length,Fragment,Toxic dose,PTM
P0DKQ5,Conus consors (Singed cone),Conotoxin M superfamily,26,,,
P85019,Conus regius (Crown cone),Conotoxin M superfamily,13,,,
Q5K0D1,Conus vexillum (Flag cone),Conotoxin O1 superfamily,79,,,
Q3YED5,Conus marmoreus (Marble cone),Conotoxin O1 superfamily,76,,,
Q5K0C0,Conus imperialis (Imperial cone),Conotoxin O1 superfamily,81,,,
Q5K0C7,Conus virgo (Virgin cone),Conotoxin O1 superfamily,79,,,
Q5K0C1,Conus imperialis (Imperial cone),Conotoxin O1 superfamily,78,,,
P0CB09,Conus ammiralis (Admiral cone),Conotoxin O1 superfamily,78,,,
P0C8V7,Conus achatinus (Little frog cone),Conotoxin O1 superfamily,81,,,
D6C4K0,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,67,,,
P58913,Conus purpurascens (Purple cone),Conotoxin O1 superfamily,81,,,The difference between delta-conotoxin PVIA and [deamido]-delta-conotoxin PVIA lies in the state of amidation of Gly-80.
Q9UA83,Conus abbreviatus (Abbreviated cone) (Miliariconus abbreviatus),Conotoxin O1 superfamily,70,fragment,,
Q8IS41,Conus vexillum (Flag cone),Conotoxin O1 superfamily,88,,,
P69762,Conus victoriae (Queen Victoria cone),Conotoxin O1 superfamily,77,,,
Q9UA85,Conus abbreviatus (Abbreviated cone) (Miliariconus abbreviatus),Conotoxin O1 superfamily,69,fragment,,
Q3YEE2,Conus capitaneus (Captain cone),Conotoxin O1 superfamily,77,,,
Q9UA71,Conus abbreviatus (Abbreviated cone) (Miliariconus abbreviatus),Conotoxin O1 superfamily,74,fragment,,
Q5K0D3,Conus striatus (Striated cone),Conotoxin O1 superfamily,77,,,
Q3YEF8,Conus lividus (Livid cone),Conotoxin O2 superfamily,72,,,
P24160,Conus textile (Cloth-of-gold cone),Conotoxin O2 superfamily,76,,,
C7T1P4,Conus ebraeus (Hebrew cone),Conotoxin O1 superfamily,26,fragment,,
C7T188,Conus ebraeus (Hebrew cone),Conotoxin O1 superfamily,69,fragment,,
C7T184,Conus ebraeus (Hebrew cone),Conotoxin O1 superfamily,69,fragment,,
P60179,Conus amadis (Amadis cone),Conotoxin O1 superfamily,26,,,
P0DL66,Conus tessulatus (Tessellate cone),Conotoxin O1 superfamily,27,,,
P69754,Conus magus (Magus cone) (Magician's cone snail),Conotoxin O1 superfamily,84,,,
P0CC14,Conus consors (Singed cone),Conotoxin O1 superfamily,32,,,
P0C1C9,Conus delessertii (Sozon's cone) (Conus sozoni),Conotoxin O1 superfamily,28,,,
A6YR23,Californiconus californicus (California cone) (Conus californicus),,45,,,
Q9TWL9,Conus magus (Magus cone) (Magician's cone snail),"Phospholipase A2 family, Group IX subfamily",77,,,
Q2I2P2,Conus litteratus (Lettered cone),Conotoxin C superfamily,85,,,
P0DP18,Conus zeylanicus (Obese cone) (Puncticulis zeylanicus),Contryphan family,10,,,
P0DOZ9,Conus asiaticus (Cone snail),,17,,,Contains 2 disulfide bonds
Q5K0C9,Conus vexillum (Flag cone),Conotoxin O1 superfamily,79,,,
Q3YEE1,Conus marmoreus (Marble cone),Conotoxin O1 superfamily,85,,,
Q5K0D2,Conus striatus (Striated cone),Conotoxin O1 superfamily,82,,,
P0CH14,Conus marmoreus (Marble cone),,11,,,
P18513,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,77,,,
G1AS75,Conus victoriae (Queen Victoria cone),Conotoxin O2 superfamily,76,,,
P0C1M8,Conus radiatus (Rayed cone),Conotoxin O2 superfamily,38,fragment,,
C7T1P3,Conus ebraeus (Hebrew cone),Conotoxin O1 superfamily,26,fragment,,
Q9N6A4,Conus ebraeus (Hebrew cone),Conotoxin O1 superfamily,69,fragment,,
Q9TWM7,Conus gloriamaris (Glory-of-the-Seas cone),Conotoxin O1 superfamily,77,,,
P0CH17,Conus parius (Cone snail),,29,,,
P69757,Conus stercusmuscarum (Fly-specked cone),Conotoxin O1 superfamily,82,,,
P0CC13,Conus consors (Singed cone),Conotoxin O1 superfamily,32,,,
P58919,Conus catus (Cat cone),Conotoxin O1 superfamily,26,,,
P0CC15,Conus consors (Singed cone),Conotoxin O1 superfamily,32,,,
P69751,Conus catus (Cat cone),Conotoxin O1 superfamily,78,,,
A6YR26,Californiconus californicus (California cone) (Conus californicus),,44,,,
D2Y495,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,97,,,
D2Y4A2,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,36,fragment,,
P58805,Conus spurius (Alphabet cone),FARP (FMRFamide related peptide) family,12,,,
Q9GU58,Conus textile (Cloth-of-gold cone),Conotoxin P superfamily,88,,,"Exists in 4 different forms, depending on gamma-carboxyglutamations. Tx9a-EE does not contain gamma-carboxyglutamate, tx9a-E/gamma has one gamma-carboxyglutamate at position 73, tx9a-gamma/E has one gamma-carboxyglutamate at position 68, and tx9a-agmma/gamma has two gamma-carboxyglutamates at positions 68 and 73"
A0A0F7YYX3,Conus victoriae (Queen Victoria cone),,196,,,
D6C4K5,Californiconus californicus (California cone) (Conus californicus),Conotoxin I1 superfamily,77,,,
D6C4H9,Californiconus californicus (California cone) (Conus californicus),Conotoxin I1 superfamily,78,,,
P0C257,Conus magus (Magus cone) (Magician's cone snail),Conotoxin I1 superfamily,46,fragment,,
Q0N4U5,Conus planorbis (Planorbis cone),Conotoxin J superfamily,76,,,
P07231,Conus geographus (Geography cone) (Nubecula geographus),Conotoxin B superfamily,100,,,
P69745,Conus lynceus (Lynceus cone),Conotoxin B superfamily,101,,,
P0DKY9,Conus rolani (Cone snail),Conotoxin B superfamily,103,,,
D6C4J3,Californiconus californicus (California cone) (Conus californicus),,59,,,Contains 2 disulfide bonds
P0C6S2,Conus cancellatus (Cancellate cone) (Conus austini),Conotoxin L superfamily,27,,,
Q9BPJ0,Conus tessulatus (Tessellate cone),Conotoxin M superfamily,67,,,
Q9BPI9,Conus ventricosus (Mediterranean cone),Conotoxin M superfamily,68,,,
Q9BPI6,Conus tessulatus (Tessellate cone),Conotoxin M superfamily,67,,,
Q9BPJ5,Conus textile (Cloth-of-gold cone),Conotoxin M superfamily,72,,,
Q2I2Q4,Conus litteratus (Lettered cone),Conotoxin M superfamily,70,,,
P0C1N3,Conus marmoreus (Marble cone),Conotoxin M superfamily,68,,,
P0C1U1,Conus catus (Cat cone),Conotoxin M superfamily,22,,,
P0CH15,Conus parius (Cone snail),Conotoxin M superfamily,15,,,"Both Pro-5 and Pro-12 are not hydroxylated, and Tyr-15 is not amidated"
P58925,Conus purpurascens (Purple cone),Conotoxin M superfamily,73,,,"3D-structure of 3 disulfide-bond connectivities isomers is described (PIIIA-1 (C1-C5, C2-C6, C3-C4), PIIIA-2 (C1-C4, C2-C5, C3-C6) and PIIIA-3 (C1-C2, C3-C4, C5-C6)) (PubMed:22407516). Only PIIIA-2 contains the cysteine connectivity described as typical for native mu-conotoxins. However, PIIIA-1 is more potent than PIIIA-2, suggesting another possible disulfid connectivity. For this reason, both connectivities have been indicated in features"
P0C1N0,Conus marmoreus (Marble cone),Conotoxin M superfamily,19,,,
P0CE77,Conus striatus (Striated cone),Conotoxin M superfamily,20,,,
P0C7I1,Conus parius (Cone snail),Conotoxin M superfamily,74,,,
P0C425,Conus marmoreus (Marble cone),Conotoxin M superfamily,71,,,
P69769,Conus radiatus (Rayed cone),Conotoxin M superfamily,75,,,
P86263,Conus textile (Cloth-of-gold cone),Conotoxin M superfamily,19,,,Contains 3 disulfide bonds.
P0DKQ3,Conus consors (Singed cone),Conotoxin M superfamily,26,,,
P85021,Conus regius (Crown cone),Conotoxin M superfamily,15,fragment,,
P0C903,Conus leopardus (Leopard cone),Conotoxin O1 superfamily,73,,,
Q2I2Q6,Conus litteratus (Lettered cone),Conotoxin O2 superfamily,86,,,Contains 4 disulfide bonds
C7T1P1,Conus ebraeus (Hebrew cone),Conotoxin O1 superfamily,26,fragment,,
C7T186,Conus ebraeus (Hebrew cone),Conotoxin O1 superfamily,69,fragment,,
P69748,Conus aurisiacus (Aurisiacus cone),Conotoxin O1 superfamily,78,,,
P69750,Conus consors (Singed cone),Conotoxin O1 superfamily,82,,,
Q7M4K5,Conus radiatus (Rayed cone),Conotoxin I1 superfamily,37,,,
Q7Z097,Conus radiatus (Rayed cone),Conotoxin I1 superfamily,46,fragment,,
P69500,Conus vexillum (Flag cone),Conotoxin I2 superfamily,67,,,
C7DQB8,Conus emaciatus (False virgin cone),Conotoxin I2 superfamily,68,,,
C7DQC0,Conus eburneus (Ivory cone),Conotoxin I2 superfamily,68,,,
P0C254,Conus episcopatus (Bishop's cone),Conotoxin I2 superfamily,70,,,
P69498,Conus miles (Soldier cone) (Mile cone),Conotoxin I2 superfamily,68,,,
D2DGD7,Conus pulicarius (Flea-bite cone),Conotoxin I3 superfamily,81,,,
Q0N4U4,Conus ferrugineus (Cone snail),Conotoxin J superfamily,76,,,
Q0N4U8,Conus planorbis (Planorbis cone),Conotoxin J superfamily,76,,,
P0DOZ5,Conus caracteristicus (Characteristic cone),,17,,,
P0C8S6,Conus mustelinus (Weasel cone),,23,,,
Q9BPH3,Conus arenatus (Sand-dusted cone),Conotoxin M superfamily,67,,,
Q9BPJ9,Conus tessulatus (Tessellate cone),Conotoxin M superfamily,68,,,
P85022,Conus regius (Crown cone),Conotoxin M superfamily,15,,,
P69760,Conus victoriae (Queen Victoria cone),Conotoxin O1 superfamily,76,,,
P69761,Conus victoriae (Queen Victoria cone),Conotoxin O1 superfamily,81,,,
Q3YED6,Conus marmoreus (Marble cone),Conotoxin O1 superfamily,82,,,
P18511,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,78,,,
P28881,Conus striatus (Striated cone),Conotoxin O1 superfamily,72,,"On fish, this toxin causes paralysis and death on intramuscular injection at doses of approximately 20 pmol/g. On intracranial injection into mice, it causes respiratory distress at around 70 pmol/g mouse and is lethal at around 300 pmol/g mouse. {ECO:0000269|PubMed:1390774}.",
Q7Z027,Conus vexillum (Flag cone),Conotoxin O1 superfamily,82,,,
P58920,Conus catus (Cat cone),Conotoxin O1 superfamily,73,,,
Q9TVK3,Conus abbreviatus (Abbreviated cone) (Miliariconus abbreviatus),Conotoxin O1 superfamily,69,fragment,,
Q9UA86,Conus abbreviatus (Abbreviated cone) (Miliariconus abbreviatus),Conotoxin O1 superfamily,74,fragment,,
Q9TVQ6,Conus abbreviatus (Abbreviated cone) (Miliariconus abbreviatus),Conotoxin O1 superfamily,67,fragment,,
Q5K0C2,Conus imperialis (Imperial cone),Conotoxin O1 superfamily,78,,,
Q9XZL3,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,82,,,
P05484,Conus magus (Magus cone) (Magician's cone snail),Conotoxin O1 superfamily,71,,LD(50) is 0.10 mg/kg by intramuscular injection into goldfish. {ECO:0000269|PubMed:26344359}.; LD(50) is 0.21 (0.18-0.24) mg/kg by intramuscular injection into goldfish (after 4 hours). {ECO:0000269|PubMed:34589389}.,
Q3YEE5,Conus miles (Soldier cone) (Mile cone),Conotoxin O1 superfamily,75,,,
P0DOW6,Conus princeps (Prince cone),Conotoxin O2 superfamily,25,,,
C8CK78,Conus capitaneus (Captain cone),Conotoxin O2 superfamily,85,,,Contains 4 disulfide bonds
P69749,Conus bullatus (Bubble cone),Conotoxin O1 superfamily,78,,,
P0CY69,Conus bullatus (Bubble cone),Conotoxin O1 superfamily,62,fragment,,
P58916,Conus consors (Singed cone),Conotoxin O1 superfamily,28,,,
A6YR24,Californiconus californicus (California cone) (Conus californicus),,45,,,
A6YR34,Californiconus californicus (California cone) (Conus californicus),,44,,,
A7LI92,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,84,,,Contains 4 disulfide bonds
D2Y497,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,35,fragment,,
D2Y499,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,97,,,
Q9BPJ4,Conus textile (Cloth-of-gold cone),Conotoxin M superfamily,90,,,
P0C1N4,Conus marmoreus (Marble cone),Conotoxin M superfamily,64,,,
P0DOZ8,Conus asiaticus (Cone snail),Conotoxin M superfamily,15,,,
H2BKS9,Conus tessulatus (Tessellate cone),Conotoxin M superfamily,67,,,
C1J5M6,Conus bullatus (Bubble cone),Conotoxin M superfamily,78,,,
P0C8V3,Conus striolatus (Cone snail),Conotoxin M superfamily,23,,,
D5KR59,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,65,,,Contains 2 disulfide bonds
Q5K0D5,Conus striatus (Striated cone),Conotoxin O1 superfamily,72,,,
A6YR30,Californiconus californicus (California cone) (Conus californicus),,45,,,
P85141,Conus villepinii (Villepin's cone),Vasopressin/oxytocin family,9,,,
Q3YEG4,Conus miles (Soldier cone) (Mile cone),Conotoxin O1 superfamily,74,,,
Q3YEG6,Conus lividus (Livid cone),Conotoxin O1 superfamily,77,,,
Q9XZL2,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,76,,,
Q3YEF3,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,76,,,
Q2I2R3,Conus litteratus (Lettered cone),Conotoxin O1 superfamily,80,,,
Q2I2R1,Conus litteratus (Lettered cone),Conotoxin O1 superfamily,89,,,
Q2I2R0,Conus litteratus (Lettered cone),Conotoxin O1 superfamily,89,,,
Q9TVY1,Conus abbreviatus (Abbreviated cone) (Miliariconus abbreviatus),Conotoxin O1 superfamily,74,fragment,,
Q9TVN1,Conus lividus (Livid cone),Conotoxin O1 superfamily,72,fragment,,
Q86RA3,Conus vexillum (Flag cone),Conotoxin O1 superfamily,74,,,
Q26443,Conus marmoreus (Marble cone),Conotoxin O1 superfamily,82,,,
Q3YED8,Conus virgo (Virgin cone),Conotoxin O1 superfamily,81,,,
D6C4I3,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,87,,,Contains 4 disulfide bonds
P18512,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,77,,,
G1AS74,Conus victoriae (Queen Victoria cone),Conotoxin O2 superfamily,74,,,
G1AS77,Conus victoriae (Queen Victoria cone),Conotoxin O2 superfamily,74,,,
G1AS80,Conus victoriae (Queen Victoria cone),Conotoxin O2 superfamily,77,,,
G1AS82,Conus victoriae (Queen Victoria cone),Conotoxin O2 superfamily,72,,,
Q2I2Q9,Conus litteratus (Lettered cone),Conotoxin O2 superfamily,77,,,
B0KZ78,Conus betulinus (Beech cone),Conotoxin O2 superfamily,87,,,Contains 4 disulfide bonds
C8CK74,Conus miles (Soldier cone) (Mile cone),Conotoxin O2 superfamily,85,,,Contains 4 disulfide bonds
Q3YEF0,Conus caracteristicus (Characteristic cone),Conotoxin O3 superfamily,78,,,
P56710,Conus nigropunctatus (Black-spot cone),Conotoxin O1 superfamily,31,,,
P0CY61,Conus bullatus (Bubble cone),Conotoxin O1 superfamily,78,,,
Q26350,Conus magus (Magus cone) (Magician's cone snail),Conotoxin O1 superfamily,29,fragment,,
P0CY66,Conus bullatus (Bubble cone),Conotoxin O1 superfamily,50,fragment,LD(50) is 0.31 (0.22-0.41) mg/kg by intramuscular injection into goldfish (after 4 hours). {ECO:0000269|PubMed:34589389}.,
A6YR20,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,87,,,
A6YR33,Californiconus californicus (California cone) (Conus californicus),,45,,,
A6YR37,Californiconus californicus (California cone) (Conus californicus),,44,,,
D2Y498,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,35,fragment,,
Q5K0B9,Conus imperialis (Imperial cone),Conotoxin O1 superfamily,80,,,
Q3YEF1,Conus marmoreus (Marble cone),Conotoxin O1 superfamily,88,,,
Q9U651,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,76,,,
Q9U650,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,75,,,
P0C905,Conus leopardus (Leopard cone),Conotoxin O1 superfamily,79,,,
Q9XZL1,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,81,,,"TxO4 is found with and without hydroxyproline and these two forms have a bromotryptophan. Truncated TxO4 is found with and without bromotryptophan, and these two forms have no hydroxyproline"
Q9XZK4,Conus striatus (Striated cone),Conotoxin O1 superfamily,77,,,
P0C8V6,Conus achatinus (Little frog cone),Conotoxin O1 superfamily,83,,,
Q9XZL5,Conus striatus (Striated cone),Conotoxin O1 superfamily,72,,,
P0C8V8,Conus achatinus (Little frog cone),Conotoxin O1 superfamily,71,,,
P69763,Conus victoriae (Queen Victoria cone),Conotoxin O1 superfamily,76,,,
P28880,Conus striatus (Striated cone),Conotoxin O1 superfamily,72,,"On fish, this toxin causes paralysis and death on intramuscular injection at doses of approximately 20 pmol/g. It does not kill mice even at extremely high doses. {ECO:0000269|PubMed:1390774}.",
Q9U655,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,78,,,
Q9UA91,Conus abbreviatus (Abbreviated cone) (Miliariconus abbreviatus),Conotoxin O1 superfamily,69,fragment,,
Q7Z028,Conus vexillum (Flag cone),Conotoxin O1 superfamily,81,,,
Q9XZK5,Conus striatus (Striated cone),Conotoxin O1 superfamily,82,,,
Q9UA95,Conus abbreviatus (Abbreviated cone) (Miliariconus abbreviatus),Conotoxin O1 superfamily,74,fragment,,
Q9UA93,Conus abbreviatus (Abbreviated cone) (Miliariconus abbreviatus),Conotoxin O1 superfamily,74,fragment,,
Q9UA72,Conus abbreviatus (Abbreviated cone) (Miliariconus abbreviatus),Conotoxin O1 superfamily,67,fragment,,
Q9TVQ7,Conus abbreviatus (Abbreviated cone) (Miliariconus abbreviatus),Conotoxin O1 superfamily,67,fragment,,
Q5K0D0,Conus vexillum (Flag cone),Conotoxin O1 superfamily,79,,,
Q9XZK8,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,76,,,
G1AS73,Conus victoriae (Queen Victoria cone),Conotoxin O2 superfamily,81,,,
P0C834,Conus striatus (Striated cone),Conotoxin O2 superfamily,77,,,
G1AS79,Conus victoriae (Queen Victoria cone),Conotoxin O2 superfamily,81,,,
G1AS81,Conus victoriae (Queen Victoria cone),Conotoxin O2 superfamily,75,,,
G1AS83,Conus victoriae (Queen Victoria cone),Conotoxin O2 superfamily,73,,,
P56711,Conus pennaceus (Feathered cone) (Conus episcopus),Conotoxin O2 superfamily,80,,,
D6C4K9,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,76,,,
P0C832,Conus striatus (Striated cone),Conotoxin O1 superfamily,37,fragment,,
P0DL67,Conus suturatus (Sutured cone),Conotoxin O1 superfamily,27,,,
P0CY71,Conus bullatus (Bubble cone),Conotoxin O1 superfamily,50,fragment,,
P0CY63,Conus bullatus (Bubble cone),Conotoxin O1 superfamily,74,,,
P37300,Conus magus (Magus cone) (Magician's cone snail),Conotoxin O1 superfamily,29,fragment,,"Not hydroxylated; hydroxylation, on a synthetic hydroxylated MVIIC, has a significant impact on the oxidative folding but not on the biological activity"
A6YR42,Californiconus californicus (California cone) (Conus californicus),Conotoxin O1 superfamily,84,,,
P0DOZ7,Conus victoriae (Queen Victoria cone),FARP (FMRFamide related peptide) family,59,,,
Q9NDA7,Conus textile (Cloth-of-gold cone),Contryphan family,63,,,
P0DP13,Conus figulinus (Fig cone),Contryphan family,8,,,
P58785,Conus purpurascens (Purple cone),Contryphan family,8,,,
P0C248,Conus amadis (Amadis cone),Contryphan family,8,,,
P0CY84,Conus bullatus (Bubble cone),Contryphan family,63,,,
P58787,Conus stercusmuscarum (Fly-specked cone),Contryphan family,63,,,
P0C1M1,Vespa magnifica (Hornet),"MCD family, Crabrolin subfamily",13,,,
A0SPI1,Vespa magnifica (Hornet),"MCD family, Crabrolin subfamily",65,,,
P01518,Vespa crabro (European hornet),"MCD family, Crabrolin subfamily",13,,,
Q8UW25,Hydrophis hardwickii (Hardwick's spine-bellied seasnake) (Lapemis hardwickii),CRISP family,238,,,
