Entry,Organism,Organism (ID),Protein families,Length,Fragment,Toxic dose,PTM
D2Y263,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y264,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y265,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y266,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y267,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y268,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y269,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y270,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y292,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y293,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y294,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y295,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y296,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y297,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y298,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y2I1,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y2I2,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y2P3,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y2P6,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y253,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y254,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y255,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y256,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y257,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y258,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y259,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y260,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y261,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y271,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,116,,,
D2Y2P8,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,116,,,
D2Y272,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,116,,,
D2Y273,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y274,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y275,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y276,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y277,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y278,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y279,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y280,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y281,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y282,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y283,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y284,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y285,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y286,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y287,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y288,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y289,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y290,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y291,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y2H9,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y2I0,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y2P5,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,113,,,
D2Y2C5,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,98,,,
D2Y2C7,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,98,,,
D2Y2C8,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,98,,,
D2Y2C6,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,98,,,
D2Y251,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,109,,,
D2Y2P2,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,109,,,
D2Y252,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,109,,,
D2Y2H1,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,109,,,
D2Y2H2,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,109,,,
D2Y2N9,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,109,,,
D2Y2P0,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,109,,,
D2Y2P1,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,109,,,
D2Y299,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,magi-1 superfamily. HNTX-16 family,117,,,
D2Y1X6,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-1 subfamily,83,,,
D2Y1X7,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-1 subfamily,83,,,
D2Y1X8,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-1 subfamily,83,,,
D2Y2C9,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,78,,,
D2Y2H0,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,78,,,
D2Y2D0,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,,78,,,
D2Y204,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y205,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y207,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y208,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y209,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y211,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y212,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y228,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y229,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,84,,,
D2Y230,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y2D5,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y2D6,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,84,,,
D2Y206,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,84,,,
D2Y2I9,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y210,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y2K5,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y2K6,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,84,,,
D2Y2K7,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y2K8,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y2K9,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y2L0,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,84,,,
D2Y2L2,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y2L3,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,LD(50) is 1.41 mg/kg into mice by intracerebroventricular injection. Dose that paralyzes insect (cockroaches) (ED(50)) is 16 mg/kg.,
D2Y2K2,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y2K3,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y2K4,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y213,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,84,,,
D2Y214,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y215,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,83,,,
D2Y216,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y217,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y218,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y2J8,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y219,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,84,,,
D2Y220,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y221,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,84,,,
D2Y231,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,84,,,
D2Y222,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y223,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y224,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y225,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y226,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y227,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y2D4,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y2J1,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y2J2,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y2J3,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y2J4,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y2J5,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,84,,,
D2Y2J6,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y2J9,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y2K0,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y2K1,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-2 family. Huwentoxin-2 subfamily,85,,,
D2Y1X9,Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana),209901,huwentoxin-1 family. Hntx-3 subfamily,83,,,
